category,Users,Volume,Transactions
1632268800000,10152,10152,10152
1632182400000,9075,9075,9075
1632096000000,8617,8617,8617
1632009600000,9997,9997,9997
1631923200000,10839,10839,10839
1631836800000,8838,8838,8838
1631750400000,9868,9868,9868
1631664000000,10399,10399,10399
1631577600000,11026,11026,11026
1631491200000,9976,9976,9976
1631404800000,11710,11710,11710
1631318400000,13342,13342,13342
1631232000000,11600,11600,11600
1631145600000,9574,9574,9574
1631059200000,10109,10109,10109
1630972800000,10362,10362,10362
1630886400000,10498,10498,10498
1630800000000,11818,11818,11818
1630713600000,12730,12730,12730
1630627200000,9077,9077,9077
1630540800000,14144,14144,14144
1630454400000,12702,12702,12702
1630368000000,13459,13459,13459
1630281600000,14578,14578,14578
1630195200000,16468,16468,16468
1630108800000,19294,19294,19294
1630022400000,14906,14906,14906
1629936000000,18009,18009,18009
1629849600000,16250,16250,16250
1629763200000,17048,17048,17048
1629676800000,15737,15737,15737
1629590400000,21188,21188,21188
1629504000000,23167,23167,23167
1629417600000,26289,26289,26289
1629331200000,25775,25775,25775
1629244800000,22919,22919,22919
1629158400000,23945,23945,23945
1629072000000,24129,24129,24129
1628985600000,25968,25968,25968
1628899200000,25935,25935,25935
1628812800000,20740,20740,20740
1628726400000,25987,25987,25987
1628640000000,25068,25068,25068
1628553600000,24569,24569,24569
1628467200000,27335,27335,27335
1628380800000,28376,28376,28376
1628294400000,27538,27538,27538
1628208000000,31368,31368,31368
1628121600000,27005,27005,27005
1628035200000,24140,24140,24140
1627948800000,28894,28894,28894
1627862400000,22940,22940,22940
1627776000000,23046,23046,23046
1627689600000,25493,25493,25493
1627603200000,25141,25141,25141
1627516800000,25938,25938,25938
1627430400000,21232,21232,21232
1627344000000,18525,18525,18525
1627257600000,17064,17064,17064
1627171200000,27733,27733,27733
1627084800000,25851,25851,25851
1626998400000,27278,27278,27278
1626912000000,34685,34685,34685
1626825600000,15241,15241,15241
1626739200000,17267,17267,17267
1626652800000,16665,16665,16665
1626566400000,15157,15157,15157
1626480000000,19368,19368,19368
1626393600000,21217,21217,21217
1626307200000,23588,23588,23588
1626220800000,24619,24619,24619
1626134400000,27261,27261,27261
1626048000000,22223,22223,22223
1625961600000,17991,17991,17991
1625875200000,20677,20677,20677
1625788800000,19604,19604,19604
1625702400000,17778,17778,17778
1625616000000,18516,18516,18516
1625529600000,11812,11812,11812
1625443200000,12573,12573,12573
1625356800000,14231,14231,14231
1625270400000,13046,13046,13046
1625184000000,12232,12232,12232
1625097600000,9033,9033,9033
1625011200000,10628,10628,10628
1624924800000,8172,8172,8172
1624838400000,7488,7488,7488
1624752000000,6809,6809,6809
1624665600000,6834,6834,6834
1624579200000,5614,5614,5614
1624492800000,6140,6140,6140
1624406400000,4549,4549,4549
1624320000000,5129,5129,5129
1624233600000,4711,4711,4711
1624147200000,5499,5499,5499
1624060800000,5033,5033,5033
1623974400000,4417,4417,4417
1623888000000,4063,4063,4063
1623801600000,4032,4032,4032
1623715200000,4013,4013,4013
1623628800000,3805,3805,3805
1623542400000,3638,3638,3638
1623456000000,3632,3632,3632
1623369600000,3974,3974,3974
1623283200000,3401,3401,3401
1623196800000,3076,3076,3076
1623110400000,3191,3191,3191
1623024000000,2903,2903,2903
1622937600000,2868,2868,2868
1622851200000,2917,2917,2917
1622764800000,2960,2960,2960
1622678400000,2607,2607,2607
1622592000000,2352,2352,2352
1622505600000,2680,2680,2680
1622419200000,2478,2478,2478
1622332800000,2692,2692,2692
1622246400000,3255,3255,3255
1622160000000,4389,4389,4389
1622073600000,2374,2374,2374
1621987200000,1371,1371,1371
1621900800000,1270,1270,1270
1621814400000,1223,1223,1223
1621728000000,974,974,974
1621641600000,1414,1414,1414
1621555200000,1132,1132,1132
1621468800000,1213,1213,1213
1621382400000,510,510,510
1621296000000,1108,1108,1108
1621209600000,1145,1145,1145
1621123200000,1492,1492,1492
1621036800000,1166,1166,1166
1620950400000,891,891,891
1620864000000,861,861,861
1620777600000,457,457,457
