txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice,withPriceUsd
0x4ddd7291cff2669622cf7b871efa462702925ade517619b549d4afc174535c99,2836851,https://storage.googleapis.com/assets.axieinfinity.com/axies/2836851/axie/axie-full-transparent.png,Bird,ronin,[META] HARE/SNIPER 59 SPEED BIRD with CUCKOO,1627312689,Normal,51925,Bird,52835,Bird,4,,3,1,27,59,35,43,0xfcfe7ea64967c8f73c0e3ef14f360c92c511bb0c,0x057e353218043544bd9c965931aec208e75d88ce,1632420978,0.07,219.78775000000002
0x1ffb81cd13379fc2dd576438ae26e284f48b0e2b82438575c3e24cb83cff5738,2836851,https://storage.googleapis.com/assets.axieinfinity.com/axies/2836851/axie/axie-full-transparent.png,Bird,ronin,[META] HARE/SNIPER 59 SPEED BIRD with CUCKOO,1627312689,Normal,51925,Bird,52835,Bird,4,,3,1,27,59,35,43,0x1004f5025f107da93c72cb84d3943fa0dfa24f6c,0x1db97e707312cff3f86ad0965574fa4b10ece471,1628288042,0.17722087,556.4424938722511
0xa6e6cc055dded97c2b789a118a072a4d40e135df3eea258a674d6b8079da12ad,2309925,https://storage.googleapis.com/assets.axieinfinity.com/axies/2309925/axie/axie-full-transparent.png,Plant,ronin,Axie #2309925,1626467058,Normal,57004,Plant,60204,Plant,4,,5,1,61,31,31,41,0x5051fdf8b322bac24810f95032b792db60fc20d1,0x1acf4800c7a4e7cf917c7416a6e8d691e9dd92b9,1631152467,0.074,232.34704999999997
0xe088315e9bd852fa8ac1febc4484134dd1740a6be38917ba173a1698ec0e76a2,2309925,https://storage.googleapis.com/assets.axieinfinity.com/axies/2309925/axie/axie-full-transparent.png,Plant,ronin,Axie #2309925,1626467058,Normal,57004,Plant,60204,Plant,4,,5,1,61,31,31,41,0x357a51d0fd00097611f636c4bf117c20c960ead0,0x5051fdf8b322bac24810f95032b792db60fc20d1,1626990916,0.20180209,633.6232263020833
0xe564d6b50904c8113125d8284335cc665de98b4b43b195e90019dae70df45507,4986165,https://storage.googleapis.com/assets.axieinfinity.com/axies/4986165/axie/axie-full-transparent.png,Reptile,ronin,Razor Buddy,1629921075,Normal,6470,Reptile,6417,Reptile,4,,3,1,57,41,31,35,0x293882027c938f8e00555af86488e5f5993f09da,0x5234e161bc00d472c1cfbee51019c351cf2b3424,1632390119,0.080000006,251.18599999999998
0x1cecbe20b98c6f80bfa226e8b932a3b336ee1b2798197e3080c14ddaeb26122e,4986165,https://storage.googleapis.com/assets.axieinfinity.com/axies/4986165/axie/axie-full-transparent.png,Reptile,ronin,Razor Buddy,1629921075,Normal,6470,Reptile,6417,Reptile,4,,3,1,57,41,31,35,0x975247c1076de55b876a84f05fc17888d66c574d,0x293882027c938f8e00555af86488e5f5993f09da,1630501470,0.085205555,267.5305334722222
0x6e6d5c86786c5d6cd1b0f0dfc9b5110d2a186a6ac1e843f3988b379ad659c088,2431419,https://storage.googleapis.com/assets.axieinfinity.com/axies/2431419/axie/axie-full-transparent.png,Bird,ronin,Axie #2431419,1626671352,Normal,28737,Bird,41995,Bird,4,,2,1,27,61,35,41,0x3855a9420abfc0ff42cade33f9b68a6800c4dcfd,0x635ed99243557752eb2bcf93ebef8f8e3f7de432,1632420192,0.048,150.7116
0xa2d82860862ff49d9778f9a796cc67fbff875cda2e16458316e1852f8e8e51ca,3164930,https://storage.googleapis.com/assets.axieinfinity.com/axies/3164930/axie/axie-full-transparent.png,Plant,ronin,TANK GREEN,1627771188,Normal,6237,Plant,6201,Plant,4,,2,1,59,34,31,40,0x1201aceec9f2a6640aef119b94812adfec647f7a,0x9eb159f1dcbe631bbaa069f3aae6ed17e9ad431c,1628375501,0.16188167,508.2801040416667
0x9a6b44d95344b4168051e509f1b39d547b6bb95db8a51b0f05ac57b19e8a0071,3958104,https://storage.googleapis.com/assets.axieinfinity.com/axies/3958104/axie/axie-full-transparent.png,Aquatic,ronin,Axie #3958104,1628674113,Normal,7437,Aquatic,6849,Aquatic,4,,4,1,45,51,35,33,0x106c0de76de65e8e7e63885ec47a630ea43bbdb8,0x81c138160f600d8ca97e299586ac66f9a54e5814,1629283738,0.137,430.156025
0x1ad20292c3daa600fc84933d1e1edbe38ec6a50418c95ac0a9df89e37cb2a2c2,6018306,https://storage.googleapis.com/assets.axieinfinity.com/axies/6018306/axie/axie-full-transparent.png,Plant,ronin,100% Perfect Breeder,1631489611,Normal,10722,Plant,10650,Plant,4,,0,1,61,31,31,41,0x4b36f654227864bf65619ff282d1535ad4879a3a,0x6f0ab60b612de8408fd51dc8b4bc1cd824935aa2,1632420882,0.2,627.965
0x7bedc4716bd965e82b9756a6be73b9a15df453b0836c2d333007f79200789f6e,6238453,https://storage.googleapis.com/assets.axieinfinity.com/axies/6238453/axie/axie-full-transparent.png,Aquatic,ronin,Axie #6238453,1631847884,Fuzzy,24838,Aquatic,23020,Aquatic,4,,0,1,49,52,35,28,0x8fad714374ca961bb2aaafa9d59d5a0cb223e135,0xaab97d624acac4ff9529e840e3670bd3d12a4a72,1632401373,0.09835602,308.8206858449074
0x9fca2fcd7e4941d030f490c64e3f65d89c24b1dea8509f3a913426d7c5281c46,1357597,https://storage.googleapis.com/assets.axieinfinity.com/axies/1357597/axie/axie-full-transparent.png,Bird,ronin,Axie #1357597,1625183542,Normal,22841,Bird,9785,Bird,4,,0,1,27,59,35,43,0x9b3891f4f148cc5a17c89dcd0bf74fcfadb4149e,0xc0ede5a4ae531ea6db699ceb921f1ffa7b28983c,1628558834,0.116,364.2197
0xf9b7d19219eced84f66e7fb8b6c0fe64a4072e13ef53d6dfb26663c965b61cea,4752917,https://storage.googleapis.com/assets.axieinfinity.com/axies/4752917/axie/axie-full-transparent.png,Beast,ronin,ĐẦU GẤU,1629567062,Fuzzy,37554,Beast,34132,Beast,4,,1,1,31,43,31,59,0x040deff1c57f24314027c79784397d8e1b772430,0x63ef2834fb2f3e27f11f449227d3aff6c4f3953a,1630147157,0.076,238.62669999999997
0x46968540954ae382cf49b52fa79861915c507a0a6cdb25b4c1739002b59d8422,4752917,https://storage.googleapis.com/assets.axieinfinity.com/axies/4752917/axie/axie-full-transparent.png,Beast,ronin,ĐẦU GẤU,1629567062,Fuzzy,37554,Beast,34132,Beast,4,,1,1,31,43,31,59,0x537fd9056a15da47412347da31ce69c3605d7056,0x040deff1c57f24314027c79784397d8e1b772430,1630123805,0.06468889,203.11179055555556
0x9c21f3ae730d5e244e624661da3e08994be7ae49bb5d532f9c392ad2e8a2b37c,5204342,https://storage.googleapis.com/assets.axieinfinity.com/axies/5204342/axie/axie-full-transparent.png,Aquatic,ronin,Marjie,1630203630,Normal,25378,Aquatic,36768,Aquatic,4,,4,1,45,57,35,27,0xafe236da0e15e2f0c060ea8374ab221898b92ed6,0x901dc380ac490359929c280f4201bae6046e4574,1630732094,0.067234375,211.10417148437497
0xf41fffb6c95e0f14c1bf9890ddfb56af8ff42aa2bb52aa773d39601f5985e166,3541050,https://storage.googleapis.com/assets.axieinfinity.com/axies/3541050/axie/axie-full-transparent.png,Plant,ronin,Updated Meta plant RUSH,1628211458,Normal,15582,Plant,56152,Plant,4,,0,1,59,34,31,40,0x77912cde228d45139b9e94e5dd195b70e5476c0c,0xce3d43aae623cee19ea72def248015c764b504e5,1632385991,0.061,191.52932499999997
0x23fc005ac70287dad9a5f55116f8e89b4c9c01a983c7e8496f5abbc4cb201487,2413092,https://storage.googleapis.com/assets.axieinfinity.com/axies/2413092/axie/axie-full-transparent.png,Aquatic,ronin,DUAL BLADE ENERGY GAIN!,1626631266,Normal,3807,Aquatic,3299,Aquatic,4,,4,1,45,51,35,33,0x55414b52598062028d49f84fcae8ddc0a8828ada,0x476c10d8d534923858972071148710ffd3dc3acc,1631714708,0.054685835,171.70394664583333
0xf8242d8f5dad00b5efb32b551fcee2640f620bccfe734f65223dbf2038cb8657,2413092,https://storage.googleapis.com/assets.axieinfinity.com/axies/2413092/axie/axie-full-transparent.png,Aquatic,ronin,DUAL BLADE ENERGY GAIN!,1626631266,Normal,3807,Aquatic,3299,Aquatic,4,,4,1,45,51,35,33,0x5c1249d061af76063b7556c941e1f7f3f2f92256,0x55414b52598062028d49f84fcae8ddc0a8828ada,1631530771,0.05225795,164.08082221961806
