week,work,axl,pvu
2020-09-27,44,0,0
2020-10-04,56,0,0
2020-10-11,77,0,0
2020-10-18,88,0,0
2020-10-25,85,0,0
2020-11-01,73,1,0
2020-11-08,67,1,0
2020-11-15,74,1,0
2020-11-22,84,0,0
2020-11-29,62,1,0
2020-12-06,48,1,0
2020-12-13,36,0,0
2020-12-20,18,0,0
2020-12-27,24,1,0
2021-01-03,60,1,0
2021-01-10,55,0,0
2021-01-17,66,1,0
2021-01-24,83,1,0
2021-01-31,93,1,0
2021-02-07,80,0,0
2021-02-14,79,0,0
2021-02-21,83,1,0
2021-02-28,88,1,0
2021-03-07,74,1,0
2021-03-14,71,1,0
2021-03-21,59,0,0
2021-03-28,42,3,0
2021-04-04,52,1,0
2021-04-11,61,1,0
2021-04-18,70,1,0
2021-04-25,81,2,0
2021-05-02,85,1,0
2021-05-09,79,2,0
2021-05-16,76,3,0
2021-05-23,74,4,0
2021-05-30,74,5,0
2021-06-06,72,9,0
2021-06-13,65,10,0
2021-06-20,60,16,0
2021-06-27,60,21,0
2021-07-04,57,37,0
2021-07-11,53,56,0
2021-07-18,64,60,0
2021-07-25,43,81,8
2021-08-01,48,100,12
2021-08-08,40,87,27
2021-08-15,53,81,26
2021-08-22,49,74,46
2021-08-29,44,81,53
2021-09-05,41,65,40
2021-09-12,47,59,68
2021-09-19,40,64,77
